1 2 3 4 5 6 7 8
0.030457 0.983538 0.136539 0.000673 0.112586 0.235803 0.000000 1.000000 
0.029784 0.983538 0.135866 0.001032 0.112586 0.235086 0.000000 1.000000 
0.029784 0.984256 0.136539 0.001032 0.112228 0.235445 0.000000 1.000000 
0.026016 0.204315 0.110209 0.001346 0.119449 0.232708 1.000000 0.000000 
0.026016 0.204629 0.109850 0.001346 0.119449 0.233067 1.000000 0.000000 
0.029784 0.985960 0.136539 0.001032 0.112586 0.235086 0.000000 1.000000 
0.026016 0.204988 0.109850 0.001704 0.120481 0.233740 1.000000 0.000000 
0.026330 0.204629 0.110209 0.001704 0.119763 0.233067 1.000000 0.000000 
0.030815 0.989728 0.136539 0.000673 0.112945 0.235086 0.000000 1.000000 
0.026330 0.204988 0.110209 0.001704 0.120122 0.233381 1.000000 0.000000 
0.030457 0.983224 0.135866 0.001032 0.112945 0.235086 0.000000 1.000000 
0.026330 0.203956 0.109491 0.002063 0.119763 0.233067 1.000000 0.000000 
0.029425 0.990760 0.136180 0.001032 0.112945 0.235086 0.000000 1.000000 
0.026330 0.204988 0.109850 0.001346 0.120122 0.232708 1.000000 0.000000 
0.029784 0.985960 0.136539 0.001032 0.112945 0.235086 0.000000 1.000000 
0.026016 0.204629 0.110209 0.001704 0.119763 0.233067 1.000000 0.000000 
0.030457 0.984256 0.136539 0.001032 0.112945 0.235086 0.000000 1.000000 
0.030098 0.991792 0.136539 0.001704 0.112945 0.235086 0.000000 1.000000 
0.029784 0.990401 0.136180 0.001346 0.112586 0.235803 0.000000 1.000000 
0.026016 0.203956 0.109491 0.001346 0.119449 0.233381 1.000000 0.000000 
0.026016 0.204315 0.109491 0.001704 0.119449 0.233067 1.000000 0.000000 
0.029784 0.984929 0.137571 0.000359 0.112945 0.235445 0.000000 1.000000 
0.026689 0.204315 0.109850 0.001346 0.119763 0.233067 1.000000 0.000000 
0.030457 0.991792 0.136539 0.000673 0.112945 0.235086 0.000000 1.000000 
0.030098 0.986992 0.136539 0.001032 0.112586 0.235086 0.000000 1.000000 
0.030098 0.984570 0.136898 0.001346 0.112586 0.235445 0.000000 1.000000 
0.026016 0.204629 0.109850 0.001704 0.119763 0.233381 1.000000 0.000000 
0.030457 0.988024 0.136539 0.001346 0.112945 0.234772 0.000000 1.000000 
0.029784 0.991074 0.135866 0.000673 0.112586 0.235803 0.000000 1.000000 
0.031488 0.984929 0.136898 0.001032 0.112586 0.235445 0.000000 1.000000 
0.025657 0.204988 0.109491 0.001346 0.119763 0.233067 1.000000 0.000000 
0.026016 0.203956 0.109850 0.001704 0.119763 0.232350 1.000000 0.000000 
0.026330 0.204629 0.109491 0.001346 0.119763 0.233381 1.000000 0.000000 
0.030457 0.986633 0.136898 0.000673 0.112228 0.235803 0.000000 1.000000 
0.025657 0.203956 0.109850 0.001704 0.119449 0.232708 1.000000 0.000000 
0.029784 0.985288 0.136898 0.001032 0.112586 0.235445 0.000000 1.000000 
0.027048 0.203956 0.109850 0.002063 0.119449 0.232708 1.000000 0.000000 
0.026689 0.204629 0.110523 0.001346 0.119763 0.233067 1.000000 0.000000 
0.026330 0.204629 0.109850 0.002063 0.119449 0.233067 1.000000 0.000000 
0.029784 0.986633 0.136898 0.001346 0.112586 0.235086 0.000000 1.000000 
0.030098 0.982865 0.136180 0.001032 0.112586 0.235086 0.000000 1.000000 
0.030457 0.985288 0.136539 0.000000 0.112586 0.234772 0.000000 1.000000 
0.026330 0.203956 0.109850 0.001346 0.119449 0.233067 1.000000 0.000000 
0.030098 0.986274 0.136539 0.001346 0.112586 0.235445 0.000000 1.000000 
0.026016 0.204315 0.109850 0.001346 0.120122 0.232708 1.000000 0.000000 
0.029784 0.983897 0.136898 0.000673 0.112945 0.235445 0.000000 1.000000 
0.025657 0.204988 0.109850 0.002063 0.119763 0.232708 1.000000 0.000000 
0.026330 0.204315 0.110209 0.001704 0.119763 0.233381 1.000000 0.000000 
0.025657 0.203956 0.109850 0.001346 0.119449 0.233067 1.000000 0.000000 
0.026016 0.203642 0.109491 0.001032 0.119449 0.233067 1.000000 0.000000 
