1 2 3 4 5 6 7 8
0.029784 0.996905 0.135866 0.001032 0.112945 0.235445 0.000000 1.000000 
0.026016 0.202925 0.109491 0.001346 0.119449 0.232708 1.000000 0.000000 
0.030098 0.998968 0.136898 0.001032 0.112586 0.235445 0.000000 1.000000 
0.030098 0.998296 0.135866 0.001032 0.112586 0.235803 0.000000 1.000000 
0.030098 0.997578 0.136539 0.001346 0.111914 0.235445 0.000000 1.000000 
0.030098 0.995514 0.136180 0.001032 0.112945 0.235803 0.000000 1.000000 
0.026016 0.203642 0.109491 0.001346 0.119449 0.232708 1.000000 0.000000 
0.026330 0.203283 0.109850 0.001346 0.119763 0.232708 1.000000 0.000000 
0.030098 0.996232 0.136539 0.001704 0.112945 0.235086 0.000000 1.000000 
0.025657 0.200861 0.110209 0.001704 0.119763 0.232708 1.000000 0.000000 
0.025657 0.203642 0.110209 0.001346 0.119763 0.233067 1.000000 0.000000 
0.029784 0.995514 0.136898 0.001032 0.112945 0.234772 0.000000 1.000000 
0.030815 0.991792 0.136539 0.001346 0.112586 0.235086 0.000000 1.000000 
0.026330 0.200861 0.110209 0.001704 0.119449 0.232708 1.000000 0.000000 
0.030098 0.996905 0.136539 0.001032 0.112586 0.235086 0.000000 1.000000 
0.029784 0.997937 0.137212 0.001346 0.112945 0.234772 0.000000 1.000000 
0.026689 0.203283 0.109491 0.001346 0.119763 0.233067 1.000000 0.000000 
0.030457 0.996546 0.136539 0.001032 0.112586 0.234413 0.000000 1.000000 
0.030457 0.997264 0.136539 0.001032 0.112228 0.235803 0.000000 1.000000 
0.029784 0.998609 0.136539 0.001346 0.112228 0.235086 0.000000 1.000000 
0.026330 0.202611 0.109850 0.001704 0.119449 0.232350 1.000000 0.000000 
0.025657 0.203283 0.109850 0.001704 0.119449 0.232708 1.000000 0.000000 
0.030815 0.997578 0.136539 0.001032 0.112945 0.235086 0.000000 1.000000 
0.026330 0.203956 0.109850 0.001032 0.119449 0.233067 1.000000 0.000000 
0.025657 0.200861 0.110209 0.001704 0.119763 0.232350 1.000000 0.000000 
0.026016 0.203283 0.109850 0.001032 0.119449 0.232708 1.000000 0.000000 
0.026016 0.201220 0.109491 0.001346 0.119449 0.233067 1.000000 0.000000 
0.030098 0.993496 0.136539 0.001346 0.112586 0.235086 0.000000 1.000000 
0.025657 0.201220 0.109850 0.001032 0.119763 0.233067 1.000000 0.000000 
0.025657 0.200547 0.109491 0.001032 0.119763 0.233067 1.000000 0.000000 
0.025657 0.201220 0.110209 0.001346 0.119449 0.232708 1.000000 0.000000 
0.030098 0.995201 0.136180 0.000673 0.112945 0.234772 0.000000 1.000000 
0.025657 0.201579 0.109850 0.001346 0.119449 0.232708 1.000000 0.000000 
0.026330 0.200547 0.110209 0.001704 0.119449 0.233067 1.000000 0.000000 
