1 2 3 4 5 6 7 8
0.029425 0.982865 0.136539 0.001704 0.112945 0.234772 0.000000 1.000000 
0.030457 0.981520 0.136180 0.001032 0.112228 0.235086 0.000000 1.000000 
0.029425 0.982551 0.136180 0.001032 0.112586 0.235445 0.000000 1.000000 
0.030815 0.981834 0.136539 0.001704 0.112586 0.235445 0.000000 1.000000 
0.030098 0.982551 0.136898 0.001346 0.112945 0.234772 0.000000 1.000000 
0.030457 0.983538 0.136539 0.001346 0.112586 0.235086 0.000000 1.000000 
0.026016 0.206020 0.109850 0.001346 0.119763 0.233067 1.000000 0.000000 
0.030457 0.984256 0.136180 0.000673 0.112228 0.235445 0.000000 1.000000 
0.025657 0.205661 0.109850 0.001704 0.120122 0.233067 1.000000 0.000000 
0.030098 0.982193 0.136539 0.001032 0.112228 0.235086 0.000000 1.000000 
0.030457 0.982551 0.136539 0.001346 0.112586 0.235086 0.000000 1.000000 
0.025657 0.205347 0.109491 0.001346 0.119763 0.232708 1.000000 0.000000 
0.030457 0.981834 0.136539 0.001704 0.112228 0.235445 0.000000 1.000000 
0.026330 0.205661 0.109850 0.001346 0.120122 0.233067 1.000000 0.000000 
0.026016 0.205661 0.109491 0.001346 0.120122 0.232708 1.000000 0.000000 
0.030098 0.983224 0.136180 0.001346 0.112228 0.235445 0.000000 1.000000 
0.026330 0.206020 0.109491 0.001704 0.119763 0.233067 1.000000 0.000000 
0.026016 0.205661 0.109850 0.001704 0.119763 0.233067 1.000000 0.000000 
0.026016 0.205347 0.109850 0.001032 0.119449 0.232708 1.000000 0.000000 
0.026016 0.205661 0.110209 0.001346 0.119763 0.232708 1.000000 0.000000 
0.026016 0.206020 0.110209 0.002063 0.120122 0.233067 1.000000 0.000000 
0.026330 0.205661 0.110209 0.001032 0.120122 0.233067 1.000000 0.000000 
0.030098 0.982193 0.136539 0.000673 0.112945 0.235445 0.000000 1.000000 
0.030457 0.982865 0.136898 0.001704 0.112586 0.235445 0.000000 1.000000 
0.030098 0.983897 0.136539 0.001032 0.113259 0.236117 0.000000 1.000000 
0.030098 0.982551 0.136898 0.001032 0.112228 0.235086 0.000000 1.000000 
0.030457 0.982193 0.136539 0.001346 0.112228 0.235086 0.000000 1.000000 
0.026330 0.205347 0.110209 0.001346 0.120122 0.233067 1.000000 0.000000 
0.030457 0.983224 0.136539 0.001032 0.112586 0.235086 0.000000 1.000000 
0.029784 0.982193 0.136539 0.001032 0.112586 0.235086 0.000000 1.000000 
0.026016 0.204629 0.109850 0.001346 0.119763 0.232350 1.000000 0.000000 
0.026016 0.204629 0.110209 0.001346 0.119763 0.233067 1.000000 0.000000 
0.030098 0.983538 0.136180 0.001032 0.112945 0.235445 0.000000 1.000000 
0.030098 0.983538 0.137212 0.001032 0.112586 0.235445 0.000000 1.000000 
0.029784 0.982551 0.136180 0.001346 0.112945 0.235086 0.000000 1.000000 
0.029784 0.983224 0.136539 0.001032 0.112586 0.234772 0.000000 1.000000 
0.026016 0.205661 0.109177 0.001032 0.119763 0.232708 1.000000 0.000000 
0.026330 0.204315 0.110209 0.001032 0.120122 0.233381 1.000000 0.000000 
0.030457 0.981520 0.136539 0.001346 0.112586 0.235086 0.000000 1.000000 
0.030098 0.982193 0.136539 0.001032 0.112586 0.235803 0.000000 1.000000 
0.026016 0.205347 0.109850 0.001346 0.120122 0.232708 1.000000 0.000000 
0.026016 0.205347 0.109850 0.001346 0.120122 0.233381 1.000000 0.000000 
0.029784 0.982551 0.136539 0.001346 0.113259 0.235086 0.000000 1.000000 
0.026689 0.204988 0.109491 0.002063 0.119763 0.232708 1.000000 0.000000 
0.026689 0.205347 0.109850 0.001704 0.120481 0.233381 1.000000 0.000000 
0.026330 0.205661 0.109491 0.001346 0.120122 0.232708 1.000000 0.000000 
0.026689 0.205347 0.109850 0.001704 0.119763 0.232708 1.000000 0.000000 
0.026330 0.205661 0.110209 0.000673 0.119449 0.233067 1.000000 0.000000 
0.026330 0.205661 0.109491 0.001032 0.120122 0.233067 1.000000 0.000000 
0.026016 0.206378 0.109491 0.001032 0.119763 0.233381 1.000000 0.000000 
